replicate,condition,pre_primary,post_primary,improvement,pre_lines_cleared,post_lines_cleared,lines_improvement,pre_elo,training_steps,tutorial,pre_hole_avoidance,pre_stack_height_management,pre_surface_smoothness,pre_line_clearing_efficiency,post_hole_avoidance,post_stack_height_management,post_surface_smoothness,post_line_clearing_efficiency
0,control,25.333333333333332,28.0,2.666666666666668,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,ordinary_practice,-35.608855851609476,-13.078847816166657,-21.898960741352045,0.006172839506172839,-37.54215821812596,-13.887672811059907,-20.114178187403994,0.0
0,rating_only,25.333333333333332,26.333333333333332,1.0,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,rating_tier_board,-35.608855851609476,-13.078847816166657,-21.898960741352045,0.006172839506172839,-41.036342456826326,-14.057523623330075,-18.745796676441838,0.0
0,rating_history,25.333333333333332,27.666666666666668,2.3333333333333357,0.16666666666666666,0.16666666666666666,0.0,1500.0,40,hole_management,-35.608855851609476,-13.078847816166657,-21.898960741352045,0.006172839506172839,-36.19203239289446,-13.613825999458182,-19.72399280157901,0.006172839506172839
1,control,26.166666666666668,27.666666666666668,1.5,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,ordinary_practice,-39.48534301592885,-12.934574933812097,-18.48175257291761,0.005376344086021505,-36.253816213586326,-13.07369397311926,-19.564145837134344,0.0
1,rating_only,26.166666666666668,27.666666666666668,1.5,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,rating_tier_board,-39.48534301592885,-12.934574933812097,-18.48175257291761,0.005376344086021505,-34.56077601410935,-12.839948306270145,-20.159313993796754,0.0
1,rating_history,26.166666666666668,27.833333333333332,1.6666666666666643,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,hole_management,-39.48534301592885,-12.934574933812097,-18.48175257291761,0.005376344086021505,-32.65117012617013,-12.436285489733766,-18.547605130076395,0.0
2,control,29.0,28.166666666666668,-0.8333333333333321,0.3333333333333333,0.16666666666666666,-0.16666666666666666,1500.0,40,ordinary_practice,-41.38719434073052,-14.686467078860588,-17.06921951436488,0.010649087221095335,-34.94168035030104,-13.107669677066228,-16.730740284619596,0.005952380952380952
2,rating_only,29.0,26.666666666666668,-2.333333333333332,0.3333333333333333,0.16666666666666666,-0.16666666666666666,1500.0,40,rating_tier_board,-41.38719434073052,-14.686467078860588,-17.06921951436488,0.010649087221095335,-40.191188983430365,-13.557149574563368,-18.480784445439618,0.005952380952380952
2,rating_history,29.0,26.666666666666668,-2.333333333333332,0.3333333333333333,0.16666666666666666,-0.16666666666666666,1500.0,40,height_management,-41.38719434073052,-14.686467078860588,-17.06921951436488,0.010649087221095335,-39.85806090461263,-13.497831019555157,-18.47175324675325,0.005952380952380952
3,control,27.333333333333332,26.0,-1.3333333333333321,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,ordinary_practice,-35.73615559155906,-13.476076924575347,-19.673441975248934,0.0,-36.57404789068304,-13.05362124990323,-19.129588356890917,0.005376344086021505
3,rating_only,27.333333333333332,27.5,0.16666666666666785,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,rating_tier_board,-35.73615559155906,-13.476076924575347,-19.673441975248934,0.0,-37.59731527093596,-13.98973864258347,-20.054587096332785,0.005952380952380952
3,rating_history,27.333333333333332,27.5,0.16666666666666785,0.0,0.0,0.0,1500.0,40,hole_management,-35.73615559155906,-13.476076924575347,-19.673441975248934,0.0,-34.32323207443897,-13.476246579091406,-20.400564107827037,0.0
4,control,27.333333333333332,27.833333333333332,0.5,0.16666666666666666,0.3333333333333333,0.16666666666666666,1500.0,40,ordinary_practice,-40.403105093212055,-13.534536808656604,-17.354568922229447,0.005747126436781609,-43.99971606251176,-13.539990087570732,-16.894523700115098,0.011328725038402458
4,rating_only,27.333333333333332,26.5,-0.8333333333333321,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,rating_tier_board,-40.403105093212055,-13.534536808656604,-17.354568922229447,0.005747126436781609,-41.77695304695305,-13.3250333000333,-19.191177711177712,0.0
4,rating_history,27.333333333333332,26.5,-0.8333333333333321,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,hole_management,-40.403105093212055,-13.534536808656604,-17.354568922229447,0.005747126436781609,-41.77695304695305,-13.3250333000333,-19.191177711177712,0.0
