replicate,condition,pre_primary,post_primary,improvement,pre_elo,post_elo,delta_elo,training_steps,diagnosed_weakness,pre_lines_cleared,pre_successful_placements,pre_survived,pre_holes,pre_maximum_stack_height,pre_bumpiness,post_lines_cleared,post_successful_placements,post_survived,post_holes,post_maximum_stack_height,post_bumpiness
0,control,0.16666666666666666,0.16666666666666666,0.0,1500.0,1488.0930006490428,-11.906999350957221,40,,0.16666666666666666,28.666666666666668,0.0,82.0,20.0,4.333333333333333,0.16666666666666666,27.333333333333332,0.0,84.5,20.0,5.833333333333333
0,rating_only,0.16666666666666666,0.16666666666666666,0.0,1500.0,1488.476205319311,-11.52379468068898,40,,0.16666666666666666,28.666666666666668,0.0,82.0,20.0,4.333333333333333,0.16666666666666666,27.666666666666668,0.0,81.83333333333333,20.0,7.0
0,rating_history,0.16666666666666666,0.3333333333333333,0.16666666666666666,1500.0,1523.4307940316462,23.4307940316462,40,hole_avoidance,0.16666666666666666,28.666666666666668,0.0,82.0,20.0,4.333333333333333,0.3333333333333333,25.833333333333332,0.0,92.66666666666667,20.0,6.5
1,control,0.0,0.16666666666666666,0.16666666666666666,1500.0,1507.016368993093,7.01636899309301,40,,0.0,26.333333333333332,0.0,79.33333333333333,20.0,15.166666666666666,0.16666666666666666,27.0,0.0,84.0,20.0,10.5
1,rating_only,0.0,0.16666666666666666,0.16666666666666666,1500.0,1516.7802790454516,16.780279045451607,40,,0.0,26.333333333333332,0.0,79.33333333333333,20.0,15.166666666666666,0.16666666666666666,27.0,0.0,83.83333333333333,20.0,9.666666666666666
1,rating_history,0.0,0.0,0.0,1500.0,1476.2033519614554,-23.796648038544618,40,hole_avoidance,0.0,26.333333333333332,0.0,79.33333333333333,20.0,15.166666666666666,0.0,27.333333333333332,0.0,79.66666666666667,20.0,10.166666666666666
2,control,0.3333333333333333,0.0,-0.3333333333333333,1500.0,1500.0,0.0,40,,0.3333333333333333,28.5,0.0,77.83333333333333,20.0,10.666666666666666,0.0,27.166666666666668,0.0,79.83333333333333,20.0,10.833333333333334
2,rating_only,0.3333333333333333,0.0,-0.3333333333333333,1500.0,1500.0,0.0,40,,0.3333333333333333,28.5,0.0,77.83333333333333,20.0,10.666666666666666,0.0,27.0,0.0,79.16666666666667,20.0,11.833333333333334
2,rating_history,0.3333333333333333,0.0,-0.3333333333333333,1500.0,1500.0,0.0,40,hole_avoidance,0.3333333333333333,28.5,0.0,77.83333333333333,20.0,10.666666666666666,0.0,27.166666666666668,0.0,80.16666666666667,20.0,10.666666666666666
3,control,0.16666666666666666,0.0,-0.16666666666666666,1500.0,1500.0,0.0,40,,0.16666666666666666,25.5,0.0,89.0,20.0,11.833333333333334,0.0,25.5,0.0,79.83333333333333,20.0,18.166666666666668
3,rating_only,0.16666666666666666,0.0,-0.16666666666666666,1500.0,1500.0,0.0,40,,0.16666666666666666,25.5,0.0,89.0,20.0,11.833333333333334,0.0,25.666666666666668,0.0,81.5,20.0,15.666666666666666
3,rating_history,0.16666666666666666,0.0,-0.16666666666666666,1500.0,1500.0,0.0,40,hole_avoidance,0.16666666666666666,25.5,0.0,89.0,20.0,11.833333333333334,0.0,25.833333333333332,0.0,82.0,20.0,13.5
4,control,0.0,0.3333333333333333,0.3333333333333333,1500.0,1507.5535973274189,7.553597327418856,40,,0.0,26.5,0.0,83.5,20.0,12.5,0.3333333333333333,27.666666666666668,0.0,86.0,19.833333333333332,3.8333333333333335
4,rating_only,0.0,0.16666666666666666,0.16666666666666666,1500.0,1484.8197709666,-15.18022903340011,40,,0.0,26.5,0.0,83.5,20.0,12.5,0.16666666666666666,25.833333333333332,0.0,88.5,20.0,10.166666666666666
4,rating_history,0.0,0.3333333333333333,0.3333333333333333,1500.0,1507.6266317059813,7.626631705981254,40,hole_avoidance,0.0,26.5,0.0,83.5,20.0,12.5,0.3333333333333333,27.666666666666668,0.0,86.0,19.833333333333332,3.8333333333333335
5,control,0.16666666666666666,0.16666666666666666,0.0,1500.0,1455.299718213611,-44.70028178638904,40,,0.16666666666666666,28.666666666666668,0.0,78.33333333333333,20.0,8.833333333333334,0.16666666666666666,26.666666666666668,0.0,78.66666666666667,20.0,14.666666666666666
5,rating_only,0.16666666666666666,0.6666666666666666,0.5,1500.0,1522.6677849237192,22.667784923719182,40,,0.16666666666666666,28.666666666666668,0.0,78.33333333333333,20.0,8.833333333333334,0.6666666666666666,28.833333333333332,0.0,86.0,20.0,4.833333333333333
5,rating_history,0.16666666666666666,0.6666666666666666,0.5,1500.0,1522.0324968626699,22.03249686266986,40,hole_avoidance,0.16666666666666666,28.666666666666668,0.0,78.33333333333333,20.0,8.833333333333334,0.6666666666666666,28.833333333333332,0.0,86.0,20.0,4.833333333333333
6,control,0.16666666666666666,0.5,0.33333333333333337,1500.0,1541.2766681926964,41.276668192696434,40,,0.16666666666666666,26.833333333333332,0.0,87.83333333333333,20.0,6.666666666666667,0.5,29.0,0.0,79.5,20.0,9.833333333333334
6,rating_only,0.16666666666666666,0.0,-0.16666666666666666,1500.0,1463.7669097187663,-36.23309028123367,40,,0.16666666666666666,26.833333333333332,0.0,87.83333333333333,20.0,6.666666666666667,0.0,29.833333333333332,0.0,70.83333333333333,20.0,10.0
6,rating_history,0.16666666666666666,0.16666666666666666,0.0,1500.0,1494.9564220885372,-5.043577911462762,40,hole_avoidance,0.16666666666666666,26.833333333333332,0.0,87.83333333333333,20.0,6.666666666666667,0.16666666666666666,28.666666666666668,0.0,76.0,20.0,10.5
